slice_idx,factor_idx,shifts
1,2,"(3,1,8,3);(1,1,2,1)"
1,2,"(1,1,2,1);(3,1,8,3)"
1,2,"(1,0,2,1);(1,1,2,1)"
1,2,"(1,0,2,1);(3,1,8,3)"
2,2,"(2,1,4,2);(1,0,2,1)"
2,2,"(3,1,8,3);(1,0,2,1)"
2,2,"(2,0,4,2);(2,0,4,2)"
2,2,"(2,0,4,2);(1,1,2,1)"
1,3,"(0,1,1,0);(1,1,2,1)"
1,3,"(0,1,1,0);(5,1,32,5)"
1,3,"(0,1,1,0);(2,1,4,2)"
1,3,"(3,0,8,3);(0,1,1,0)"
2,3,"(0,1,1,0);(5,0,32,5)"
2,3,"(1,0,2,1);(0,1,1,0)"
2,3,"(7,1,128,7);(0,1,1,0)"
2,3,"(3,0,8,3);(0,1,1,0)"
1,4,"(0,1,1,0);(3,0,8,3)"
1,4,"(0,1,1,0);(9,0,512,9)"
1,4,"(5,0,32,5);(0,1,1,0)"
1,4,"(3,1,8,3);(0,1,1,0)"
2,4,"(0,1,1,0);(4,1,16,4)"
2,4,"(0,1,1,0);(5,1,32,5)"
2,4,"(8,1,256,8);(0,1,1,0)"
2,4,"(0,1,1,0);(3,1,8,3)"
1,5,"(0,1,1,0);(3,1,8,3)"
1,5,"(0,1,1,0);(11,1,2048,11)"
1,5,"(6,0,64,6);(0,1,1,0)"
1,5,"(5,0,32,5);(0,1,1,0)"
2,5,"(0,1,1,0);(6,0,64,6)"
2,5,"(0,1,1,0);(7,1,128,7)"
2,5,"(0,1,1,0);(9,0,512,9)"
2,5,"(6,0,64,6);(0,1,1,0)"
1,6,"(0,1,1,0);(5,0,32,5)"
1,6,"(0,1,1,0);(13,0,8192,13)"
1,6,"(0,1,1,0);(5,1,32,5)"
1,6,"(3,1,8,3);(0,1,1,0)"
2,6,"(0,1,1,0);(7,1,128,7)"
2,6,"(0,1,1,0);(7,0,128,7)"
2,6,"(0,1,1,0);(12,1,4096,12)"
2,6,"(0,1,1,0);(6,1,64,6)"
1,7,"(0,1,1,0);(4,1,16,4)"
1,7,"(0,1,1,0);(14,1,16384,14)"
1,7,"(8,0,256,8);(0,1,1,0)"
1,7,"(5,0,32,5);(0,1,1,0)"
2,7,"(0,1,1,0);(7,0,128,7)"
2,7,"(10,0,1024,10);(0,1,1,0)"
2,7,"(0,1,1,0);(13,1,8192,13)"
2,7,"(7,0,128,7);(0,1,1,0)"
1,8,"(0,1,1,0);(5,0,32,5)"
1,8,"(0,1,1,0);(15,0,32768,15)"
1,8,"(0,1,1,0);(7,1,128,7)"
1,8,"(5,1,32,5);(0,1,1,0)"
2,8,"(0,1,1,0);(9,0,512,9)"
2,8,"(0,1,1,0);(12,1,4096,12)"
2,8,"(0,1,1,0);(15,1,32768,15)"
2,8,"(8,0,256,8);(0,1,1,0)"
1,9,"(0,1,1,0);(5,1,32,5)"
1,9,"(0,1,1,0);(14,1,16384,14)"
1,9,"(9,0,512,9);(0,1,1,0)"
1,9,"(7,0,128,7);(0,1,1,0)"
2,9,"(0,1,1,0);(13,1,8192,13)"
2,9,"(0,1,1,0);(16,1,65536,16)"
2,9,"(0,1,1,0)"
2,9,"(0,1,1,0);(9,1,512,9)"
1,10,"(0,1,1,0);(8,0,256,8)"
1,10,"(0,1,1,0);(15,0,32768,15)"
1,10,"(0,1,1,0);(9,1,512,9)"
1,10,"(5,1,32,5);(0,1,1,0)"
2,10,"(0,1,1,0);(13,0,8192,13)"
2,10,"(0,1,1,0)"
2,10,"(0,1,1,0)"
2,10,"(10,1,1024,10);(0,1,1,0)"
1,11,"(0,1,1,0);(7,1,128,7)"
1,11,"(0,1,1,0);(14,1,16384,14)"
1,11,"(10,0,1024,10);(0,1,1,0)"
1,11,"(7,0,128,7);(0,1,1,0)"
2,11,"(0,1,1,0)"
2,11,"(0,1,1,0)"
2,11,"(0,1,1,0)"
2,11,"(12,0,4096,12);(0,1,1,0)"
